key,value
tab9_lin18_col1,Ekho ALPha Optimal Vol FI Em Cotas de FI Financeiro MM Créd  
tab9_lin18_col2,"7765861,99154"
tab9_lin18_col3,0
tab9_lin18_col4,"236526,7514800000"
tab9_lin18_col5,"8002388,74302"
tab9_lin18_col6,"8,4304492669"
tab9_lin18_col7,"39845,45595"
tab9_lin18_col8,"7962543,28707"
tab9_lin18_col9,D+61
tab9_lin19_col0,    
tab9_lin19_col1,Jive Distressed & Special Sits Iv Institutional FIC Fim Cp I 
tab9_lin19_col2,"1861333,54693"
tab9_lin19_col3,0
tab9_lin19_col4,"9206,4163800000"
tab9_lin19_col5,"1870539,96331"
tab9_lin19_col6,"1,9705981262"
tab9_lin19_col7,"8968,65707"
tab9_lin19_col8,"1861571,30624"
tab9_lin19_col9,(vide regulamento)
tab9_lin20_col0,    
tab9_lin20_col1,Jive Distressed & Special Sits Iv Institutional FIC Firf Ref 
tab9_lin20_col2,"394429,961744"
tab9_lin20_col3,0
tab9_lin20_col4,"2139,8828280000"
tab9_lin20_col5,"396569,844572"
tab9_lin20_col6,"0,4177829974"
tab9_lin20_col7,"851,889985"
tab9_lin20_col8,"395717,954587"
tab9_lin20_col9,D+0
tab9_lin21_col0,    
tab9_lin21_col1,Kapitalo Zeta Merídia FICFIs MM 
tab9_lin21_col2,"5919462,31992"
tab9_lin21_col3,0
tab9_lin21_col4,"139175,4498900000"
tab9_lin21_col5,"6058637,76981"
tab9_lin21_col6,"6,3827239572"
tab9_lin21_col7,"73331,10326"
tab9_lin21_col8,"5985306,66655"
tab9_lin21_col9,D+62
tab9_lin22_col0,    
tab9_lin22_col1,Lumina Feeder Brasil II FI Financeiro 
tab9_lin22_col2,0
tab9_lin22_col3,"50170,91"
tab9_lin22_col4,"-98,9960331000"
tab9_lin22_col5,"50071,9139669"
tab9_lin22_col6,"0,0527503404"
tab9_lin22_col7,0
tab9_lin22_col8,"50071,9139669"
tab9_lin22_col9,Data de encerramento do Fundo+5
tab9_lin23_col0,    
tab9_lin23_col1,Perfin Space X FI Em  Participações Em Infraestrutura _unica
tab9_lin23_col2,"258909,531648"
tab9_lin23_col3,0
tab9_lin23_col4,"-177,8615680000"
tab9_lin23_col5,"258731,67008"
tab9_lin23_col6,"0,2725716393"
tab9_lin23_col7,"33063,042264"
tab9_lin23_col8,"225668,627816"
tab9_lin23_col9,
tab9_lin24_col0,    
tab9_lin24_col1,Perfin Voyager FI Em Participações Em Infraestrutura _unica
tab9_lin24_col2,"1022526,71886"
tab9_lin24_col3,0
tab9_lin24_col4,"197,3590600000"
tab9_lin24_col5,"1022724,07792"
tab9_lin24_col6,"1,0774312183"
tab9_lin24_col7,"78729,30103"
tab9_lin24_col8,"943994,77689"
tab9_lin24_col9,
tab9_lin25_col0,    
tab9_lin25_col1,Real Investor FICFI MM 
tab9_lin25_col2,"4475310,66429"
tab9_lin25_col3,0
tab9_lin25_col4,"41090,4138100000"
tab9_lin25_col5,"4516401,0781"
tab9_lin25_col6,"4,7579905676"
tab9_lin25_col7,"13441,97739"
tab9_lin25_col8,"4502959,10071"
tab9_lin25_col9,D+30
tab9_lin26_col0,    
tab9_lin26_col1,Spx Falcon 2 FICFIA 
tab9_lin26_col2,"3129121,20272"
tab9_lin26_col3,0
tab9_lin26_col4,"-6189,8072400000"
tab9_lin26_col5,"3122931,39548"
tab9_lin26_col6,"3,2899819715"
tab9_lin26_col7,0
tab9_lin26_col8,"3122931,39548"
tab9_lin26_col9,D+32
tab9_lin27_col0,    
tab9_lin27_col1,Spx Raptor Ekho Fo FICFI MM Créd Priv Ie 
tab9_lin27_col2,"3824400,33665"
tab9_lin27_col3,0
tab9_lin27_col4,"87992,1533600000"
tab9_lin27_col5,"3912392,49001"
tab9_lin27_col6,"4,1216725978"
tab9_lin27_col7,"25167,78455"
tab9_lin27_col8,"3887224,70546"
tab9_lin27_col9,D+181
tab9_lin28_col0,    
tab9_lin28_col1,Trend DI FICFI RF Simples 
tab9_lin28_col2,0
tab9_lin28_col3,"-0,56"
tab9_lin28_col4,"0,5578067100"
tab9_lin28_col5,0
tab9_lin28_col6,"0,0000000000"
tab9_lin28_col7,0
tab9_lin28_col8,0
tab9_lin28_col9,D+0
tab9_lin29_col0,    
tab9_lin29_col1,Trend Inb FICFI RF Simples 
tab9_lin29_col2,"1381,18846544"
tab9_lin29_col3,"-330,33"
tab9_lin29_col4,"7,0323250800"
tab9_lin29_col5,"1057,88657904"
tab9_lin29_col6,"0,0011144746"
tab9_lin29_col7,"0,85739713"
tab9_lin29_col8,"1057,02918191"
tab9_lin29_col9,D+0
tab9_lin30_col0,    
tab9_lin30_col1,Valora Horizon High Yield FICFI MM Créd Priv 
tab9_lin30_col2,"3600288,40213"
tab9_lin30_col3,0
tab9_lin30_col4,"28458,3729700000"
tab9_lin30_col5,"3628746,7751"
tab9_lin30_col6,"3,8228542216"
tab9_lin30_col7,"14550,46431"
tab9_lin30_col8,"3614196,31079"
tab9_lin30_col9,D+181
